date,cha106
2000-01-31,1.0480E+00
2000-02-29,2.0400E+00
2000-03-31,1.6650E+00
2000-04-30,1.3320E+00
2000-05-31,1.2200E+00
2000-06-30,4.3590E+00
2000-07-31,6.9270E-01
2000-08-31,7.5320E-01
2000-09-30,6.0300E-01
2000-10-31,1.0320E+00
2000-11-30,9.3210E-01
2000-12-31,2.9110E+00
2001-01-31,3.5500E+00
2001-02-28,2.1170E+00
2001-03-31,1.5560E+00
2001-04-30,1.0790E+00
2001-05-31,1.1300E+00
2001-06-30,5.8020E-01
2001-07-31,3.6710E-01
2001-08-31,2.2300E-01
2001-09-30,9.0070E-01
2001-10-31,5.0020E-01
2001-11-30,7.2240E-01
2001-12-31,3.1870E-01